"رقم الملف المروري","الاسم بالعربي","الجنسية","المركبات الغير منتهية","المركبات المنتهية","المهنة","الرقم الموحد","الدخول والخروج","تاريخ الدخول والخروج","السوابق","تحركات المركبات","عدد المركبات","لا توجد تحركات","عدد المركبات 222"
"     7365486","راشد كمال","السعودية","           2","           3","مضيف طيران","    59871451","داخل","24SEP25:00:00:00","توجد","           1","           5","           4","           5"
"      417140","علي حبيب","سوريا","           6","          11","سائق شاحنة","    60157334","خارج","03SEP25:00:00:00","لاتوجد","          13","          17","           4","          17"
"    45069643","براكاش كومار","الهند","           5","           7","أخصائي تسويق","    51321565","خارج الدولة","26DEC24:00:00:00","لاتوجد","           6","          12","           6","          12"
"    53560900","أندرو ديفيس","المملكة المتحدة","           4","           9","مدير","    96539481","داخل الدولة","16DEC25:00:00:00","لاتوجد","          10","          13","           3","          13"
"    60978094","ماجد حبيب","عمان","           0","           3","محاسب","    66966898","خارج الدولة","16JAN25:00:00:00","متوفى","           2","           3","           1","           3"
"    10350039","جمعة فهمي","لبنان","           2","           4","أمين مخزن","    61751365","داخل","08JUL25:00:00:00","لاتوجد","           4","           6","           2","           6"
"     5283846","كريشنا تابا","نيبال","           0","           2","كهربائي","    98058935","خارج","22FEB25:00:00:00","توجد","           2","           2","           0","           2"
"    42150776","فيصل شيخ","باكستان","           1","           1","سائق شاحنة","    10732751","خارج الدولة","28NOV25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    33716442","عمر منصور","الأردن","           1","           3","صياد","    83179211","خارج الدولة","04DEC24:00:00:00","توجد","           3","           4","           1","           4"
"      446764","فيصل خان","باكستان","           4","           5","مزارع","    40749650","داخل","22NOV24:00:00:00","لاتوجد","           6","           9","           3","           9"
"    27733653","رحمن شودري","بنغلاديش","           1","           1","مندوب مبيعات","    76937441","داخل الدولة","06MAR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    11739126","خالد منصور","سوريا","           9","          10","عامل نظافة","    29849932","خارج الدولة","06MAR26:00:00:00","توجد","           4","          19","          15","          19"
"      670151","حسين منصور","مصر","           4","           4","بائع","    52754113","داخل الدولة","08MAY24:00:00:00","لاتوجد","           5","           8","           3","           8"
"      689422","طارق الغافري","الإمارات العربية المتحدة","           1","           1","ممرض","    13380180","خارج الدولة","08DEC25:00:00:00","لاتوجد","           1","           2","           1","           2"
"     1282608","سعيد علي","مصر","           0","           1","أمين مخزن","    32901170","داخل","26JAN24:00:00:00","لاتوجد","           0","           1","           1","           1"
"       22782","ماريا رييس","الفلبين","           4","           1","حلاق","    44055148","خارج","19MAY26:00:00:00","لاتوجد","           1","           5","           4","           5"
"    51672990","سوريش كومار","الهند","           0","           1","أخصائي تسويق","    62828110","خارج","01JAN26:00:00:00","لاتوجد","           0","           1","           1","           1"
"    55291892","سامباث راجاباكسا","سريلانكا","           0","           4","صياد","    44204031","خارج","24MAR24:00:00:00","لاتوجد","           2","           4","           2","           4"
"     2859201","رحمن الدين","بنغلاديش","           0","           1","متقاعد","    17948117","داخل الدولة","17JAN24:00:00:00","لاتوجد","           0","           1","           1","           1"
"     9064811","حسين نصار","سوريا","           6","           3","طبيب أسنان","    32521668","خارج","14AUG24:00:00:00","توجد","           4","           9","           5","           9"
"     4328581","كارلو أكينو","الفلبين","           8","           5","تاجر","    47545262","خارج الدولة","08AUG24:00:00:00","توجد","           5","          13","           8","          13"
"    15050240","فيصل مالك","باكستان","           2","           5","فني أشعة","    84894863","خارج الدولة","12AUG24:00:00:00","لاتوجد","           5","           7","           2","           7"
"     2867446","حمدان صالح","السودان","           2","           5","مشرف","    41938978","خارج الدولة","16APR25:00:00:00","توجد","           5","           7","           2","           7"
"      289340","حسن الغافري","الإمارات العربية المتحدة","           4","           1","صحفي","    25632285","خارج الدولة","12JUL25:00:00:00","لاتوجد","           4","           5","           1","           5"
"    22522406","فيصل مالك","باكستان","           1","           3","سائق شاحنة","    45448021","خارج","23FEB26:00:00:00","لاتوجد","           2","           4","           2","           4"
"       64269","الاتحاد للتجارة ذ.م.م","الإمارات العربية المتحدة","           3","           7","مقاول","    93466440","خارج","27JAN26:00:00:00","لاتوجد","           5","          10","           5","          10"
"    47700515","مزارع العين للنقل","الإمارات العربية المتحدة","           3","           2","مدير مشروع","    39133429","خارج","28OCT24:00:00:00","لاتوجد","           2","           5","           3","           5"
"     2173062","حسن الكعبي","الإمارات العربية المتحدة","           1","           1","وسيط عقاري","    88325593","داخل الدولة","13NOV24:00:00:00","لاتوجد","           1","           2","           1","           2"
"      350646","أحمد زكي","مصر","           1","           0","سباك","    95104284","خارج","25JAN26:00:00:00","لاتوجد","           1","           1","           0","           1"
"     2474240","سوريش ريدي","الهند","           6","           4","فني","    33794261","داخل الدولة","14OCT25:00:00:00","توجد","           2","          10","           8","          10"
"    17860677","كامران بت","باكستان","           3","           3","مبرمج","    92925842","داخل","24JUL24:00:00:00","لاتوجد","           5","           6","           1","           6"
"    16996604","نورة السويدي","الإمارات العربية المتحدة","           0","           1","مزارع","    60029884","خارج","03JUL24:00:00:00","توجد","           0","           1","           1","           1"
"      426931","راجيش شاه","الهند","           1","           1","أمين مخزن","    29416263","خارج","12NOV25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    14821515","مزارع العين للنقل","الإمارات العربية المتحدة","           4","           6","رجل أعمال","    95895394","خارج","14DEC25:00:00:00","لاتوجد","           3","          10","           7","          10"
"     1063106","رحمن ميا","بنغلاديش","           0","           1","صيدلي","    63797129","داخل الدولة","12JUL25:00:00:00","لاتوجد","           0","           1","           1","           1"
"    52243506","براكاش باتيل","الهند","           0","           1","نجار","    43219835","خارج الدولة","07MAR26:00:00:00","لاتوجد","           0","           1","           1","           1"
"     5788604","سارة الظاهري","الإمارات العربية المتحدة","           0","           2","ضابط","    37981719","داخل الدولة","02JUN25:00:00:00","توجد","           1","           2","           1","           2"
"    48337962","لطيفة النعيمي","الإمارات العربية المتحدة","           5","           7","مضيف طيران","    25578030","داخل الدولة","14APR24:00:00:00","توجد","           3","          12","           9","          12"
"    65958522","أميت راو","الهند","           5","           9","أخصائي تسويق","    26122656","داخل","25DEC24:00:00:00","لاتوجد","          11","          14","           3","          14"
"     6181495","راجيش كومار","الهند","           5","           4","عامل","    75002510","داخل","04DEC24:00:00:00","لاتوجد","           5","           9","           4","           9"
"    99703907","جوي سانتوس","الفلبين","           1","           0","بحار","    82796382","خارج الدولة","24OCT24:00:00:00","لاتوجد","           0","           1","           1","           1"
"       58007","زايد الزعابي","الإمارات العربية المتحدة","           1","           1","كهربائي","    19480468","داخل الدولة","29JUN25:00:00:00","لاتوجد","           1","           2","           1","           2"
"      462754","ديباك ناير","الهند","           0","           2","محاسب","    87461284","خارج","05JAN25:00:00:00","لاتوجد","           2","           2","           0","           2"
"       98611","سونيتا داس","الهند","           3","           7","سائق شاحنة","    60657664","خارج الدولة","25SEP24:00:00:00","توجد","           5","          10","           5","          10"
"       58174","كافيتا ناير","الهند","           2","           1","سائق شاحنة","    81997054","خارج","22JUN24:00:00:00","لاتوجد","           1","           3","           2","           3"
"    25075225","بلال إقبال","باكستان","           1","           3","مزارع","    25655698","خارج الدولة","02FEB24:00:00:00","توجد","           2","           4","           2","           4"
"    22085736","أنيل راو","الهند","           7","           5","جندي","    46503233","داخل الدولة","13AUG24:00:00:00","لاتوجد","           9","          12","           3","          12"
"    95674091","سالم الكتبي","الإمارات العربية المتحدة","           1","           0","مهندس","    22205773","خارج","07JUL24:00:00:00","توجد","           0","           1","           1","           1"
"    21701093","حسين صالح","الأردن","           1","           1","مدقق حسابات","    12454549","داخل","25NOV24:00:00:00","لاتوجد","           2","           2","           0","           2"
"    39685018","براكاش ماغار","نيبال","           3","           2","خياط","    61227755","داخل","14NOV25:00:00:00","لاتوجد","           2","           5","           3","           5"
"       85354","وضحة عبدالرحمن","فلسطين","           3","           1","طبيب أسنان","    62272455","داخل","28OCT24:00:00:00","لاتوجد","           3","           4","           1","           4"
"      401865","أنيل غوبتا","الهند","           1","           1","أخصائي مختبر","    20907308","داخل الدولة","11APR24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    61655044","عدنان قريشي","باكستان","           0","           2","سكرتير","    64668716","خارج","01FEB25:00:00:00","توجد","           2","           2","           0","           2"
"    84994393","موزة درويش","مصر","           2","           1","حارس أمن","    24538252","خارج","01JUN25:00:00:00","توجد","           2","           3","           1","           3"
"    30675273","أميت فيرما","الهند","           1","           1","سكرتير","    72597350","خارج الدولة","10DEC24:00:00:00","لاتوجد","           1","           2","           1","           2"
"    84773927","أحمد فهمي","العراق","           0","           2","مهندس","    86066056","داخل الدولة","09FEB24:00:00:00","توجد","           1","           2","           1","           2"
"    57393925","كيران شاه","الهند","           1","           0","صحفي","    12698635","داخل الدولة","24APR25:00:00:00","لاتوجد","           1","           1","           0","           1"
"     6890423","ديباك راو","الهند","           5","           4","أمين مخزن","    92892108","داخل","10FEB25:00:00:00","لاتوجد","           6","           9","           3","           9"
"    60879697","نذرول حسين","بنغلاديش","           2","           2","طاهي","    23135937","داخل","07MAY24:00:00:00","توجد","           1","           4","           3","           4"
"    71114666","راميش فيرما","الهند","           1","           2","مبرمج","    11522009","داخل الدولة","10JUN25:00:00:00","لاتوجد","           2","           3","           1","           3"
"       86594","عبيد الحمادي","الإمارات العربية المتحدة","           3","           6","عامل","    92436877","داخل","14MAY26:00:00:00","لاتوجد","           7","           9","           2","           9"
"    63229650","جمعة عوض","مصر","           2","           0","حارس أمن","    15892376","داخل الدولة","18NOV24:00:00:00","توجد","           0","           2","           2","           2"
"    19257724","موزة علي","مصر","           4","           3","موظف حكومي","    34344712","داخل الدولة","10FEB24:00:00:00","توجد","           4","           7","           3","           7"
"    17315728","راميش فيرما","الهند","          10","          14","مدقق حسابات","    67381089","خارج الدولة","29AUG25:00:00:00","لاتوجد","          13","          24","          11","          24"
"    60842297","إبراهيم المهيري","الإمارات العربية المتحدة","           0","           2","خياط","    86284009","خارج","07FEB26:00:00:00","توجد","           1","           2","           1","           2"
"    65198796","روشان بيريرا","سريلانكا","           2","           2","حارس أمن","    84416531","داخل","07FEB26:00:00:00","لاتوجد","           2","           4","           2","           4"
"      992818","سانجاي شاه","الهند","           1","           1","عامل","    45022176","داخل الدولة","01SEP25:00:00:00","توجد","           2","           2","           0","           2"
"    59088882","مانوج مينون","الهند","           0","           2","مهندس معماري","    87258052","خارج","25JAN26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    74499200","سالم عوض","عمان","           1","           1","طبيب أسنان","    92187180","داخل الدولة","08JUL26:00:00:00","توجد","           1","           2","           1","           2"
"       81307","حصة المري","الإمارات العربية المتحدة","           1","           5","مذيع","    56625322","داخل","10AUG24:00:00:00","لاتوجد","           5","           6","           1","           6"
"       84219","عبيد المزروعي","الإمارات العربية المتحدة","          10","           8","موظف حكومي","    27170337","خارج الدولة","21APR26:00:00:00","لاتوجد","           8","          18","          10","          18"
"      592286","ناصر القبيسي","الإمارات العربية المتحدة","           1","           0","خياط","    21643728","خارج","07JAN25:00:00:00","توجد","           0","           1","           1","           1"
"    85343788","زيشان خان","باكستان","           5","           4","أمين مخزن","    72681929","خارج الدولة","29JAN26:00:00:00","متوفى","           5","           9","           4","           9"
"    75032422","الاتحاد للتجارة ذ.م.م","الإمارات العربية المتحدة","           5","           3","رجل أعمال","    66379013","خارج الدولة","08AUG24:00:00:00","متوفى","           6","           8","           2","           8"
"    21579387","أرون ناير","الهند","           1","           0","مندوب مبيعات","    56742026","داخل","20JUL24:00:00:00","لاتوجد","           0","           1","           1","           1"
"    49192096","فهد علي","مصر","           5","           5","محاسب","    87036681","خارج الدولة","12OCT25:00:00:00","لاتوجد","           6","          10","           4","          10"
"      356227","ديباك ريدي","الهند","           1","           3","مضيف طيران","    10517865","داخل الدولة","05JAN25:00:00:00","لاتوجد","           1","           4","           3","           4"
"    12662989","روشان فرناندو","سريلانكا","           1","           2","حلاق","    97699310","داخل الدولة","02OCT25:00:00:00","توجد","           1","           3","           2","           3"
"    65267466","بلال بت","باكستان","          11","           8","معلم","    89545748","خارج","20SEP24:00:00:00","توجد","          10","          19","           9","          19"
"      332250","خالد حداد","سوريا","           3","           1","خياط","    92665532","خارج الدولة","26OCT24:00:00:00","توجد","           2","           4","           2","           4"
"     1919503","ديفيد تايلور","المملكة المتحدة","           3","           4","بحار","    78964750","خارج الدولة","24JUL25:00:00:00","لاتوجد","           5","           7","           2","           7"
"      653780","عمران بت","باكستان","           1","           4","مهندس","    56078207","خارج","22NOV25:00:00:00","توجد","           2","           5","           3","           5"
"    34565672","كريم إسلام","بنغلاديش","           3","           8","خياط","    64733511","خارج","15JUN24:00:00:00","لاتوجد","           8","          11","           3","          11"
"      863269","غريس باوتيستا","الفلبين","           1","           1","مدقق حسابات","    60785381","داخل الدولة","04JAN25:00:00:00","توجد","           1","           2","           1","           2"
"    35610612","عمر السويدي","الإمارات العربية المتحدة","           0","           1","طبيب أسنان","    71013239","داخل","09JAN26:00:00:00","لاتوجد","           1","           1","           0","           1"
"      326474","منصور الشامسي","الإمارات العربية المتحدة","           2","           0","فني أشعة","    23604587","خارج","15JAN26:00:00:00","لاتوجد","           1","           2","           1","           2"
"       93403","كيران غوبتا","الهند","           1","           0","محلل مالي","    33303030","خارج الدولة","06NOV24:00:00:00","لاتوجد","           1","           1","           0","           1"
"    85623733","سلطان المهيري","الإمارات العربية المتحدة","           4","           7","موظف حكومي","    55500188","داخل","08FEB25:00:00:00","توجد","           4","          11","           7","          11"
"      493598","عبدال علي","بنغلاديش","           3","           4","مهندس كهرباء","    11527252","خارج الدولة","16DEC24:00:00:00","لاتوجد","           3","           7","           4","           7"
"    91470666","رام تامانغ","نيبال","           5","           4","بحار","    21282507","خارج","23JUL26:00:00:00","توجد","           5","           9","           4","           9"
"     9023134","براكاش بيلاي","الهند","           6","           3","سباك","    19766044","داخل","15OCT25:00:00:00","توجد","           3","           9","           6","           9"
"    58444602","مانوج سينغ","الهند","           1","           1","فني","    43194263","خارج","03APR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    32176425","ناصر عبدالرحمن","مصر","           0","           1","مشرف","    10278893","داخل","02JUL25:00:00:00","توجد","           1","           1","           0","           1"
"    99783031","الصحراء لتأجير السيارات","الإمارات العربية المتحدة","           7","           5","مدير مشروع","    91113884","خارج","19MAR26:00:00:00","لاتوجد","           6","          12","           6","          12"
"     2500921","عمر الظاهري","الإمارات العربية المتحدة","           3","           6","مهندس كهرباء","    95846981","داخل","01MAR26:00:00:00","لاتوجد","           3","           9","           6","           9"
"     6085942","غريس باوتيستا","الفلبين","           0","           2","مدير مشروع","    14472830","خارج الدولة","01MAR25:00:00:00","متوفى","           1","           2","           1","           2"
"    81306212","عدنان قريشي","باكستان","          11","          14","حلاق","    17043033","داخل الدولة","31JAN25:00:00:00","لاتوجد","           8","          25","          17","          25"
"    83255758","بيكرام شريستا","نيبال","           1","           2","طالب","    83259906","خارج","04SEP25:00:00:00","لاتوجد","           2","           3","           1","           3"
"       59667","بلال مالك","باكستان","           9","           3","حداد","    46810791","خارج","13JUN24:00:00:00","توجد","           9","          12","           3","          12"
"    66627850","زيشان رضا","باكستان","           2","           2","متقاعد","    47781801","داخل الدولة","07APR24:00:00:00","متوفى","           2","           4","           2","           4"
"    43763543","عدنان خان","باكستان","           0","           1","معلم","    35956763","خارج","27JUN26:00:00:00","توجد","           1","           1","           0","           1"
"    90580426","سومان شريستا","نيبال","           5","           6","مدير مشروع","    88862106","خارج","23FEB25:00:00:00","لاتوجد","           2","          11","           9","          11"
"      445434","شاهين حسين","بنغلاديش","           1","           0","حداد","    40296019","خارج الدولة","16MAR24:00:00:00","لاتوجد","           1","           1","           0","           1"
"       16342","سارة المزروعي","الإمارات العربية المتحدة","           2","           3","فني","    92408232","خارج","18MAR25:00:00:00","توجد","           2","           5","           3","           5"
"    64466723","محمد تشودري","باكستان","           3","           1","طيار","    15502406","داخل","09MAR24:00:00:00","توجد","           3","           4","           1","           4"
"       96428","براكاش ماغار","نيبال","           2","           1","مهندس كهرباء","    87477262","خارج","22OCT24:00:00:00","توجد","           1","           3","           2","           3"
"    90371410","راجيش ريدي","الهند","          10","           4","سائق","    12309143","داخل","19APR25:00:00:00","توجد","           4","          14","          10","          14"
"    53198209","نورة الحمادي","الإمارات العربية المتحدة","           1","           1","مقاول","    77826353","خارج الدولة","15JUL26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    73660265","موزة النعيمي","الإمارات العربية المتحدة","           2","           3","منسق","    43816922","خارج الدولة","24OCT24:00:00:00","توجد","           2","           5","           3","           5"
"    55330820","طارق الحمادي","الإمارات العربية المتحدة","          21","           4","مترجم","    25037077","خارج الدولة","26DEC24:00:00:00","لاتوجد","           5","          25","          20","          25"
"    53278736","رافي شاه","الهند","           0","           2","رجل أعمال","    72443107","داخل الدولة","09AUG25:00:00:00","توجد","           1","           2","           1","           2"
"    87017181","مزارع العين للنقل","الإمارات العربية المتحدة","           5","           4","مقاول","    14685366","داخل الدولة","17AUG25:00:00:00","لاتوجد","           2","           9","           7","           9"
"      833867","جمعة الغافري","الإمارات العربية المتحدة","          11","           7","مستشار","    80394035","خارج","31OCT24:00:00:00","لاتوجد","          10","          18","           8","          18"
"      559328","سيتي تاكسي ذ.م.م","الإمارات العربية المتحدة","           3","           0","تاجر","    12200424","خارج الدولة","17SEP25:00:00:00","لاتوجد","           2","           3","           1","           3"
"     9959456","آصف تشودري","باكستان","           1","           1","مدير موارد بشرية","    91555275","داخل","20JUL24:00:00:00","لاتوجد","           1","           2","           1","           2"
"      116637","إميلي جونسون","المملكة المتحدة","           5","           4","محامي","    68804061","داخل","30APR25:00:00:00","توجد","           3","           9","           6","           9"
"    45301225","فهد علي","مصر","           2","           4","أمين مخزن","    80396655","خارج","21MAY25:00:00:00","لاتوجد","           3","           6","           3","           6"
"    75431980","سلمى نصار","لبنان","           1","           6","بحار","    19756151","خارج","26JAN26:00:00:00","لاتوجد","           2","           7","           5","           7"
"      905834","موهان سينغ","الهند","           3","           2","مصمم","    86132699","داخل","25SEP25:00:00:00","توجد","           1","           5","           4","           5"
"     3995603","ماجد الكعبي","الإمارات العربية المتحدة","           4","           8","محلل مالي","    77197353","خارج","01JUN24:00:00:00","لاتوجد","           6","          12","           6","          12"
"      705920","الفطيم للخدمات اللوجستية","الإمارات العربية المتحدة","           5","           3","مدير مشروع","    94559117","داخل","01APR25:00:00:00","توجد","           3","           8","           5","           8"
"      741767","توماس ويلسون","المملكة المتحدة","           1","           0","أخصائي تسويق","    83547695","داخل الدولة","30NOV24:00:00:00","توجد","           1","           1","           0","           1"
"       69488","مريم فهمي","سوريا","           0","           1","سكرتير","    63824679","خارج الدولة","08NOV25:00:00:00","توجد","           1","           1","           0","           1"
"    22833278","ماجد المهيري","الإمارات العربية المتحدة","           1","           2","مبرمج","    36952371","خارج","08JAN26:00:00:00","لاتوجد","           2","           3","           1","           3"
"    22336579","رحمن الدين","بنغلاديش","           0","           1","محلل مالي","    62047521","خارج الدولة","13JAN25:00:00:00","لاتوجد","           0","           1","           1","           1"
"     5939018","أحمد الشامسي","الإمارات العربية المتحدة","           0","           1","سكرتير","    62490292","خارج","26MAR26:00:00:00","لاتوجد","           1","           1","           0","           1"
"       33725","هدى المري","الإمارات العربية المتحدة","           6","           5","بحار","    17866497","داخل الدولة","20APR24:00:00:00","لاتوجد","           5","          11","           6","          11"
"    57807907","كمال حسين","بنغلاديش","           6","           6","مزارع","    90292849","خارج الدولة","22FEB25:00:00:00","توجد","           3","          12","           9","          12"
"      312661","جهانغير شودري","بنغلاديش","           4","           9","مهندس كهرباء","    63468867","داخل الدولة","07SEP24:00:00:00","توجد","          10","          13","           3","          13"
"    85757604","خالد القبيسي","الإمارات العربية المتحدة","           1","           2","بحار","    34555230","داخل الدولة","22FEB26:00:00:00","لاتوجد","           2","           3","           1","           3"
"     9964358","ليلى الرميثي","الإمارات العربية المتحدة","           1","           0","بائع","    18742640","داخل","06JUN25:00:00:00","توجد","           0","           1","           1","           1"
"    95736928","جهانغير حسين","بنغلاديش","           3","           9","مقاول","    72506051","داخل الدولة","08JUL26:00:00:00","لاتوجد","           8","          12","           4","          12"
"    42332057","محمد حبيب","عمان","           2","           2","مهندس معماري","    81733930","خارج الدولة","04JUL26:00:00:00","لاتوجد","           1","           4","           3","           4"
"       93169","أحمد فهمي","السودان","           9","          10","ضابط","    24962250","داخل الدولة","03MAY25:00:00:00","لاتوجد","           5","          19","          14","          19"
"    21482618","سونيل آير","الهند","           5","           7","جندي","    89943642","داخل","12NOV25:00:00:00","توجد","           8","          12","           4","          12"
"     5531777","فهد زكي","الأردن","           1","           1","أخصائي تسويق","    59747408","خارج الدولة","28FEB26:00:00:00","لاتوجد","           0","           2","           2","           2"
"    54322249","كيران ريدي","الهند","           0","           1","مبرمج","    40914487","داخل الدولة","07MAY25:00:00:00","متوفى","           1","           1","           0","           1"
"    81817330","كيران غوبتا","الهند","           5","           5","مزارع","    58335584","داخل الدولة","18JUL25:00:00:00","توجد","           4","          10","           6","          10"
"       63012","مارك غارسيا","الفلبين","           0","           3","مترجم","    43980846","خارج الدولة","21JUN24:00:00:00","لاتوجد","           1","           3","           2","           3"
"    52050169","كامران بت","باكستان","           3","           5","بائع","    21876195","خارج الدولة","26SEP25:00:00:00","لاتوجد","           2","           8","           6","           8"
"    65309303","بلال مالك","باكستان","           1","           2","أمين مخزن","    47689974","داخل","10SEP24:00:00:00","لاتوجد","           2","           3","           1","           3"
"    58799541","الاتحاد للتجارة ذ.م.م","الإمارات العربية المتحدة","           7","           8","تاجر","    65155447","داخل الدولة","04MAR26:00:00:00","لاتوجد","           5","          15","          10","          15"
"    33618298","محمد مالك","باكستان","           0","           1","طبيب أسنان","    44989879","خارج الدولة","06JUN24:00:00:00","توجد","           1","           1","           0","           1"
"    85074078","أميت داس","الهند","           2","           1","مصمم","    58922861","خارج الدولة","26JUN25:00:00:00","لاتوجد","           2","           3","           1","           3"
"     1181167","بهادر راي","نيبال","           0","           1","سائق أجرة","    51979355","داخل الدولة","10FEB24:00:00:00","توجد","           0","           1","           1","           1"
"    10349161","جمعة العلي","الإمارات العربية المتحدة","           1","           0","مهندس ميكانيكا","    45970178","داخل الدولة","21MAY25:00:00:00","لاتوجد","           1","           1","           0","           1"
"       20690","جهانغير شودري","بنغلاديش","           5","           1","مستشار","    40907213","خارج الدولة","10APR26:00:00:00","لاتوجد","           3","           6","           3","           6"
"    62001428","آصف شيخ","باكستان","           2","           0","وسيط عقاري","    20313027","داخل الدولة","07APR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    17447735","منصور إبراهيم","الأردن","          12","           8","مبرمج","    35960235","داخل الدولة","18FEB26:00:00:00","توجد","           8","          20","          12","          20"
"    55608032","سومان تامانغ","نيبال","           2","           2","مزارع","    75898562","خارج الدولة","26JAN24:00:00:00","لاتوجد","           3","           4","           1","           4"
"    23231439","يوسف المنصوري","الإمارات العربية المتحدة","           2","           3","مهندس معماري","    31243301","داخل","16JAN26:00:00:00","توجد","           2","           5","           3","           5"
"    56410950","خالد عوض","مصر","           1","           1","ممرض","    56253550","داخل","14MAR26:00:00:00","توجد","           1","           2","           1","           2"
"    14737096","شركة الأسمنت الوطنية","الإمارات العربية المتحدة","           3","           3","مدير مشروع","    90421880","خارج الدولة","13FEB25:00:00:00","لاتوجد","           2","           6","           4","           6"
"      675409","سوريش راو","الهند","           2","           0","مدير موارد بشرية","    48848335","داخل الدولة","04FEB25:00:00:00","لاتوجد","           1","           2","           1","           2"
"     8242075","ديباك كومار","الهند","           2","           3","فني أشعة","    12138940","خارج","25MAY26:00:00:00","لاتوجد","           2","           5","           3","           5"
"      919871","إبراهيم الرميثي","الإمارات العربية المتحدة","           1","           2","طبيب","    31161477","خارج","10OCT24:00:00:00","لاتوجد","           2","           3","           1","           3"
"      922509","سالم فهمي","مصر","           2","           3","طيار","    36584460","خارج الدولة","04FEB24:00:00:00","لاتوجد","           4","           5","           1","           5"
"    41473404","أنيتا باتيل","الهند","           7","           4","منسق","    50611811","داخل الدولة","18FEB24:00:00:00","توجد","           9","          11","           2","          11"
"      724217","فاروق رحمن","بنغلاديش","           0","           3","جندي","    93980372","داخل الدولة","26OCT25:00:00:00","لاتوجد","           2","           3","           1","           3"
"      282057","خالد نصار","مصر","           2","           0","معلم","    11670966","خارج","13DEC24:00:00:00","توجد","           2","           2","           0","           2"
"       40544","خوسيه ميندوزا","الفلبين","           5","          15","عامل نظافة","    44812972","خارج الدولة","19APR24:00:00:00","لاتوجد","          16","          20","           4","          20"
"    71894375","حصة حبيب","عمان","           5","           3","حداد","    80780700","داخل","01FEB24:00:00:00","لاتوجد","           4","           8","           4","           8"
"      866555","سعيد المنصوري","الإمارات العربية المتحدة","           0","           1","محاسب","    44180391","خارج الدولة","14MAY24:00:00:00","متوفى","           1","           1","           0","           1"
"    99655823","كمال شودري","بنغلاديش","           0","           1","فني","    77249050","خارج الدولة","05FEB25:00:00:00","توجد","           1","           1","           0","           1"
"      354278","آمنة إبراهيم","سوريا","           1","           3","عامل نظافة","    45188349","خارج","29OCT25:00:00:00","لاتوجد","           1","           4","           3","           4"
"    52499059","الخليج لتأجير السيارات","الإمارات العربية المتحدة","           5","           7","مقاول","    88219695","خارج","08MAR26:00:00:00","لاتوجد","           8","          12","           4","          12"
"    59000443","سلمى عبدالرحمن","سوريا","           3","           3","سباك","    47454253","خارج","10DEC25:00:00:00","توجد","           3","           6","           3","           6"
"     1718976","جمعة إبراهيم","فلسطين","           1","           6","سائق أجرة","    99218710","خارج","05AUG25:00:00:00","لاتوجد","           5","           7","           2","           7"
"    78357148","أرون سينغ","الهند","           3","           7","مزارع","    20462578","خارج","22MAR25:00:00:00","توجد","           8","          10","           2","          10"
"    50909103","فاطمة العلي","الإمارات العربية المتحدة","           0","           3","طاهي","    73833073","خارج","15JAN26:00:00:00","لاتوجد","           1","           3","           2","           3"
"    51328624","محمد عوض","لبنان","           9","           2","ممرض","    39844082","خارج الدولة","05FEB24:00:00:00","لاتوجد","           4","          11","           7","          11"
"      276054","موهان كومار","الهند","           3","           3","مهندس ميكانيكا","    63806275","خارج","11JUL24:00:00:00","لاتوجد","           5","           6","           1","           6"
"      183683","راجيش شاه","الهند","           0","           1","خياط","    80070287","داخل الدولة","31MAY26:00:00:00","توجد","           0","           1","           1","           1"
"     4937992","يوسف حبيب","السودان","           1","           1","مدير مشروع","    39102091","خارج الدولة","08AUG24:00:00:00","لاتوجد","           2","           2","           0","           2"
"       66711","فيجاي راو","الهند","           1","           1","محاسب","    40860478","داخل الدولة","20JUL25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    50005691","طارق إبراهيم","سوريا","           2","           1","متقاعد","    48469853","خارج الدولة","27NOV24:00:00:00","توجد","           1","           3","           2","           3"
"       86173","آشا سينغ","الهند","           8","           8","متقاعد","    23463635","خارج الدولة","16DEC24:00:00:00","لاتوجد","           6","          16","          10","          16"
"      786196","كامران شيخ","باكستان","          10","           8","مصمم","    52887979","داخل الدولة","16MAY24:00:00:00","لاتوجد","          12","          18","           6","          18"
"      280126","سانجاي فيرما","الهند","           1","           1","حارس أمن","    17599093","داخل","21FEB26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    69479863","فيصل أحمد","باكستان","           0","           2","مهندس مدني","    83306446","خارج الدولة","13MAR26:00:00:00","توجد","           1","           2","           1","           2"
"       83011","راشد محمود","مصر","          19","          25","عامل","    39569838","داخل","12APR25:00:00:00","لاتوجد","          16","          44","          28","          44"
"      700820","سعيد صالح","فلسطين","           0","           1","مهندس ميكانيكا","    68145704","داخل الدولة","22APR24:00:00:00","توجد","           0","           1","           1","           1"
