"case_date","category","danger category description","driver name","driver name A","crime ADSC","Traffic No","وجود البلاغات الجنائية"
"","","low","Faisal Khan","فيصل خان","","      446764","بدون البلاغات الجنائية"
"","","dangerous","Rahman Chowdhury","رحمن شودري","","    27733653","بدون البلاغات الجنائية"
"2023-06-09 07:58:44","مقلقة","highly dangerous","Khalid Mansour","خالد منصور","عدم الالتزام بالإقامة الجبرية","    11739126","بلاغ جنائي"
"2020-09-06 02:17:48","مقلقة","highly dangerous","Khalid Mansour","خالد منصور","التحرش","    11739126","بلاغ جنائي"
"2025-08-11 17:29:40","مقلقة","highly dangerous","Khalid Mansour","خالد منصور","انتحال صفة","    11739126","بلاغ جنائي"
"","","low","Hussein Mansour","حسين منصور","","      670151","بدون البلاغات الجنائية"
"","","dangerous","Tariq Al Ghafri","طارق الغافري","","      689422","بدون البلاغات الجنائية"
"","","medium","Saeed Ali","سعيد علي","","     1282608","بدون البلاغات الجنائية"
"","","low","Maria Reyes","ماريا رييس","","       22782","بدون البلاغات الجنائية"
"","","dangerous","Suresh Kumar","سوريش كومار","","    51672990","بدون البلاغات الجنائية"
"","","low","Sampath Rajapaksa","سامباث راجاباكسا","","    55291892","بدون البلاغات الجنائية"
"","","low","Rahman Uddin","رحمن الدين","","     2859201","بدون البلاغات الجنائية"
"2020-05-12 06:36:56","مقلقة","highly dangerous","Hussein Nassar","حسين نصار","عدم الالتزام بالإقامة الجبرية","     9064811","بلاغ جنائي"
"2020-08-26 07:58:11","مقلقة","highly dangerous","Hussein Nassar","حسين نصار","الاتجار بالمواد المخدرة","     9064811","بلاغ جنائي"
"2024-03-14 06:01:33","مقلقة","highly dangerous","Hussein Nassar","حسين نصار","غسل الأموال","     9064811","بلاغ جنائي"
"2021-03-27 23:34:38","غير مقلقة","highly dangerous","Hussein Nassar","حسين نصار","إصدار شيك بدون رصيد","     9064811","بلاغ جنائي"
"2022-10-13 03:03:53","مقلقة","highly dangerous","Carlo Aquino","كارلو أكينو","حيازة مواد مخدرة","     4328581","بلاغ جنائي"
"","","medium","Faisal Malik","فيصل مالك","","    15050240","بدون البلاغات الجنائية"
"2024-09-23 22:08:10","مقلقة","dangerous","Hamdan Saleh","حمدان صالح","الابتزاز الإلكتروني","     2867446","بلاغ جنائي"
"","","low","Hassan Al Ghafri","حسن الغافري","","      289340","بدون البلاغات الجنائية"
"","","dangerous","Faisal Malik","فيصل مالك","","    22522406","بدون البلاغات الجنائية"
"","","dangerous","Union Trading LLC","الاتحاد للتجارة ذ.م.م","","       64269","بدون البلاغات الجنائية"
"","","low","Al Ain Farms Transport","مزارع العين للنقل","","    47700515","بدون البلاغات الجنائية"
"","","dangerous","Hassan Al Kaabi","حسن الكعبي","","     2173062","بدون البلاغات الجنائية"
"","","highly dangerous","Ahmed Zaki","أحمد زكي","","      350646","بدون البلاغات الجنائية"
"2021-11-16 06:14:24","مقلقة","dangerous","Suresh Reddy","سوريش ريدي","الدخول للبلاد بطريقة غير مشروعة","     2474240","بلاغ جنائي"
"","","medium","Kamran Butt","كامران بت","","    17860677","بدون البلاغات الجنائية"
"2022-05-20 18:57:58","مقلقة","highly dangerous","Noura Al Suwaidi","نورة السويدي","انتحال صفة","    16996604","بلاغ جنائي"
"2026-07-23 03:40:04","مقلقة","highly dangerous","Noura Al Suwaidi","نورة السويدي","عرقلة سير العدالة","    16996604","بلاغ جنائي"
"","","low","Rajesh Shah","راجيش شاه","","      426931","بدون البلاغات الجنائية"
"","","low","Al Ain Farms Transport","مزارع العين للنقل","","    14821515","بدون البلاغات الجنائية"
"","","dangerous","Rahman Miah","رحمن ميا","","     1063106","بدون البلاغات الجنائية"
"","","low","Prakash Patel","براكاش باتيل","","    52243506","بدون البلاغات الجنائية"
"2020-06-05 01:33:52","مقلقة","dangerous","Sara Al Dhaheri","سارة الظاهري","القيادة بتهور","     5788604","بلاغ جنائي"
"2022-07-14 19:04:46","مقلقة","dangerous","Sara Al Dhaheri","سارة الظاهري","الاتجار بالمواد المخدرة","     5788604","بلاغ جنائي"
"2019-08-12 09:55:47","غير مقلقة","dangerous","Sara Al Dhaheri","سارة الظاهري","السب والقذف","     5788604","بلاغ جنائي"
"2020-10-17 15:52:11","غير مقلقة","medium","Latifa Al Nuaimi","لطيفة النعيمي","التلاعب في عداد المسافات","    48337962","بلاغ جنائي"
"","","low","Amit Rao","أميت راو","","    65958522","بدون البلاغات الجنائية"
"","","dangerous","Rajesh Kumar","راجيش كومار","","     6181495","بدون البلاغات الجنائية"
"","","medium","Joy Santos","جوي سانتوس","","    99703907","بدون البلاغات الجنائية"
"","","dangerous","Zayed Al Zaabi","زايد الزعابي","","       58007","بدون البلاغات الجنائية"
"","","low","Deepak Nair","ديباك ناير","","      462754","بدون البلاغات الجنائية"
"2023-02-26 20:18:47","غير مقلقة","low","Sunita Das","سونيتا داس","إلحاق الضرر العمدي بالممتلكات","       98611","بلاغ جنائي"
"2021-07-12 20:14:07","غير مقلقة","low","Sunita Das","سونيتا داس","نقل ركاب بدون تصريح","       98611","بلاغ جنائي"
"2023-11-22 03:40:49","مقلقة","low","Sunita Das","سونيتا داس","الاتجار بالمواد المخدرة","       98611","بلاغ جنائي"
"","","medium","Kavita Nair","كافيتا ناير","","       58174","بدون البلاغات الجنائية"
"2023-01-24 05:58:49","مقلقة","highly dangerous","Bilal Iqbal","بلال إقبال","الهروب من مسرح الحادث","    25075225","بلاغ جنائي"
"2020-06-04 14:01:24","مقلقة","highly dangerous","Bilal Iqbal","بلال إقبال","انتحال صفة","    25075225","بلاغ جنائي"
"","","medium","Anil Rao","أنيل راو","","    22085736","بدون البلاغات الجنائية"
"2020-04-24 02:09:31","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","التسبب في حادث جسيم","    95674091","بلاغ جنائي"
"2023-01-06 13:22:02","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","الاتجار بالمواد المخدرة","    95674091","بلاغ جنائي"
"2025-07-03 02:40:58","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","التحرش","    95674091","بلاغ جنائي"
"2019-06-11 13:52:28","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","التفحيط وتعريض الأرواح للخطر","    95674091","بلاغ جنائي"
"2024-06-25 23:14:32","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","السرقة","    95674091","بلاغ جنائي"
"2019-10-27 16:23:38","مقلقة","highly dangerous","Salem Al Ketbi","سالم الكتبي","الهروب من مسرح الحادث","    95674091","بلاغ جنائي"
"","","low","Hussein Saleh","حسين صالح","","    21701093","بدون البلاغات الجنائية"
"","","highly dangerous","Prakash Magar","براكاش ماغار","","    39685018","بدون البلاغات الجنائية"
"","","low","Wadha Abdelrahman","وضحة عبدالرحمن","","       85354","بدون البلاغات الجنائية"
"","","medium","Anil Gupta","أنيل غوبتا","","      401865","بدون البلاغات الجنائية"
"2024-10-03 03:34:55","مقلقة","highly dangerous","Adnan Qureshi","عدنان قريشي","عرقلة سير العدالة","    61655044","بلاغ جنائي"
"2020-07-08 00:19:18","مقلقة","highly dangerous","Adnan Qureshi","عدنان قريشي","انتحال صفة","    61655044","بلاغ جنائي"
"2022-08-06 19:23:35","مقلقة","highly dangerous","Adnan Qureshi","عدنان قريشي","تعاطي مواد مخدرة","    61655044","بلاغ جنائي"
"2020-03-01 09:11:01","غير مقلقة","highly dangerous","Adnan Qureshi","عدنان قريشي","نقل ركاب بدون تصريح","    61655044","بلاغ جنائي"
"2024-11-03 18:34:38","مقلقة","highly dangerous","Adnan Qureshi","عدنان قريشي","القيادة تحت تأثير الكحول","    61655044","بلاغ جنائي"
"2025-02-17 22:38:17","غير مقلقة","medium","Moza Darwish","موزة درويش","مخالفة الأنظمة الجمركية","    84994393","بلاغ جنائي"
"2020-06-21 15:13:04","غير مقلقة","medium","Moza Darwish","موزة درويش","تجاوز الإشارة الحمراء بشكل متكرر","    84994393","بلاغ جنائي"
"2023-08-12 20:20:24","غير مقلقة","medium","Moza Darwish","موزة درويش","القيادة بدون تأمين ساري","    84994393","بلاغ جنائي"
"","","medium","Amit Verma","أميت فيرما","","    30675273","بدون البلاغات الجنائية"
"2019-05-27 00:53:54","مقلقة","dangerous","Ahmed Fahmy","أحمد فهمي","الاتجار بالمواد المخدرة","    84773927","بلاغ جنائي"
"2023-06-03 17:49:49","مقلقة","dangerous","Ahmed Fahmy","أحمد فهمي","غسل الأموال","    84773927","بلاغ جنائي"
"","","medium","Kiran Shah","كيران شاه","","    57393925","بدون البلاغات الجنائية"
"","","low","Deepak Rao","ديباك راو","","     6890423","بدون البلاغات الجنائية"
"2021-01-06 13:46:37","مقلقة","highly dangerous","Nazrul Hossain","نذرول حسين","التزوير في محرر رسمي","    60879697","بلاغ جنائي"
"2024-12-30 19:33:18","مقلقة","highly dangerous","Nazrul Hossain","نذرول حسين","القيادة تحت تأثير الكحول","    60879697","بلاغ جنائي"
"","","low","Ramesh Verma","راميش فيرما","","    71114666","بدون البلاغات الجنائية"
"","","medium","Obaid Al Hammadi","عبيد الحمادي","","       86594","بدون البلاغات الجنائية"
"2021-12-31 06:58:30","مقلقة","highly dangerous","Juma Awad","جمعة عوض","حيازة مواد مخدرة","    63229650","بلاغ جنائي"
"2026-03-21 02:46:53","مقلقة","highly dangerous","Juma Awad","جمعة عوض","عدم الالتزام بالإقامة الجبرية","    63229650","بلاغ جنائي"
"2022-01-13 06:22:52","مقلقة","highly dangerous","Juma Awad","جمعة عوض","الاعتداء بالضرب المفضي إلى إصابة","    63229650","بلاغ جنائي"
"2021-01-02 23:15:40","مقلقة","highly dangerous","Juma Awad","جمعة عوض","قيادة مركبة مسروقة","    63229650","بلاغ جنائي"
"2024-11-29 22:15:33","غير مقلقة","highly dangerous","Juma Awad","جمعة عوض","خيانة الأمانة","    63229650","بلاغ جنائي"
"2024-07-28 12:52:12","مقلقة","highly dangerous","Moza Ali","موزة علي","الاعتداء على موظف عام أثناء تأدية عمله","    19257724","بلاغ جنائي"
"2020-05-25 14:52:26","مقلقة","highly dangerous","Moza Ali","موزة علي","الاعتداء بالضرب المفضي إلى إصابة","    19257724","بلاغ جنائي"
"","","dangerous","Ramesh Verma","راميش فيرما","","    17315728","بدون البلاغات الجنائية"
"2019-03-13 08:17:56","غير مقلقة","dangerous","Ibrahim Al Muhairi","إبراهيم المهيري","السب والقذف","    60842297","بلاغ جنائي"
"2019-01-27 02:22:13","غير مقلقة","dangerous","Ibrahim Al Muhairi","إبراهيم المهيري","القيادة عكس اتجاه السير","    60842297","بلاغ جنائي"
"2025-10-28 20:25:46","مقلقة","dangerous","Ibrahim Al Muhairi","إبراهيم المهيري","السرقة","    60842297","بلاغ جنائي"
"2021-04-02 19:53:25","غير مقلقة","dangerous","Ibrahim Al Muhairi","إبراهيم المهيري","القيادة بدون تأمين ساري","    60842297","بلاغ جنائي"
"","","low","Roshan Perera","روشان بيريرا","","    65198796","بدون البلاغات الجنائية"
"2021-04-21 18:20:40","غير مقلقة","low","Sanjay Shah","سانجاي شاه","القيادة برخصة منتهية","      992818","بلاغ جنائي"
"2025-01-30 09:39:14","غير مقلقة","low","Sanjay Shah","سانجاي شاه","إتلاف ممتلكات عامة","      992818","بلاغ جنائي"
"","","low","Manoj Menon","مانوج مينون","","    59088882","بدون البلاغات الجنائية"
"2025-03-21 08:18:22","غير مقلقة","dangerous","Salem Awad","سالم عوض","القيادة عكس اتجاه السير","    74499200","بلاغ جنائي"
"2019-10-18 05:00:15","غير مقلقة","dangerous","Salem Awad","سالم عوض","القيادة بدون تأمين ساري","    74499200","بلاغ جنائي"
"","","medium","Hessa Al Marri","حصة المري","","       81307","بدون البلاغات الجنائية"
"","","low","Obaid Al Mazrouei","عبيد المزروعي","","       84219","بدون البلاغات الجنائية"
"2023-09-01 16:12:43","غير مقلقة","dangerous","Nasser Al Qubaisi","ناصر القبيسي","مخالفة الأنظمة الجمركية","      592286","بلاغ جنائي"
"","","dangerous","Zeeshan Khan","زيشان خان","","    85343788","بدون البلاغات الجنائية"
"","","low","Union Trading LLC","الاتحاد للتجارة ذ.م.م","","    75032422","بدون البلاغات الجنائية"
"","","low","Arun Nair","أرون ناير","","    21579387","بدون البلاغات الجنائية"
"","","medium","Fahad Ali","فهد علي","","    49192096","بدون البلاغات الجنائية"
"","","dangerous","Deepak Reddy","ديباك ريدي","","      356227","بدون البلاغات الجنائية"
"2021-09-29 09:30:10","مقلقة","dangerous","Roshan Fernando","روشان فرناندو","مقاومة رجال السلطة","    12662989","بلاغ جنائي"
"2020-09-30 14:41:35","غير مقلقة","dangerous","Roshan Fernando","روشان فرناندو","إلحاق الضرر العمدي بالممتلكات","    12662989","بلاغ جنائي"
"2025-04-11 15:19:59","مقلقة","highly dangerous","Bilal Butt","بلال بت","الهروب من مسرح الحادث","    65267466","بلاغ جنائي"
"2023-11-12 01:55:59","مقلقة","highly dangerous","Bilal Butt","بلال بت","انتحال صفة","    65267466","بلاغ جنائي"
"2021-08-26 19:20:20","مقلقة","highly dangerous","Khalid Haddad","خالد حداد","القيادة تحت تأثير الكحول","      332250","بلاغ جنائي"
"2019-09-27 09:29:39","غير مقلقة","highly dangerous","Khalid Haddad","خالد حداد","التهديد","      332250","بلاغ جنائي"
"","","low","David Taylor","ديفيد تايلور","","     1919503","بدون البلاغات الجنائية"
"2024-11-20 02:55:45","مقلقة","highly dangerous","Imran Butt","عمران بت","انتحال صفة","      653780","بلاغ جنائي"
"","","low","Karim Islam","كريم إسلام","","    34565672","بدون البلاغات الجنائية"
"2021-03-08 18:06:00","غير مقلقة","medium","Grace Bautista","غريس باوتيستا","مخالفة الأنظمة الجمركية","      863269","بلاغ جنائي"
"","","medium","Omar Al Suwaidi","عمر السويدي","","    35610612","بدون البلاغات الجنائية"
"","","medium","Mansoor Al Shamsi","منصور الشامسي","","      326474","بدون البلاغات الجنائية"
"","","medium","Kiran Gupta","كيران غوبتا","","       93403","بدون البلاغات الجنائية"
"2024-12-12 05:47:07","غير مقلقة","dangerous","Sultan Al Muhairi","سلطان المهيري","خيانة الأمانة","    85623733","بلاغ جنائي"
"","","medium","Abdul Ali","عبدال علي","","      493598","بدون البلاغات الجنائية"
"2021-11-02 15:47:29","مقلقة","dangerous","Ram Tamang","رام تامانغ","الرشوة","    91470666","بلاغ جنائي"
"2025-07-11 14:08:10","غير مقلقة","dangerous","Ram Tamang","رام تامانغ","إتلاف ممتلكات عامة","    91470666","بلاغ جنائي"
"2019-02-15 23:31:26","مقلقة","dangerous","Ram Tamang","رام تامانغ","الدخول للبلاد بطريقة غير مشروعة","    91470666","بلاغ جنائي"
"2021-03-03 11:04:11","مقلقة","dangerous","Ram Tamang","رام تامانغ","التزوير في محرر رسمي","    91470666","بلاغ جنائي"
"2022-11-19 17:26:24","غير مقلقة","dangerous","Ram Tamang","رام تامانغ","السب والقذف","    91470666","بلاغ جنائي"
"2025-02-02 14:13:25","مقلقة","low","Prakash Pillai","براكاش بيلاي","التفحيط وتعريض الأرواح للخطر","     9023134","بلاغ جنائي"
"2019-05-18 01:06:39","غير مقلقة","low","Prakash Pillai","براكاش بيلاي","مخالفة الأنظمة الجمركية","     9023134","بلاغ جنائي"
"","","low","Manoj Singh","مانوج سينغ","","    58444602","بدون البلاغات الجنائية"
"2019-10-24 14:27:44","مقلقة","highly dangerous","Nasser Abdelrahman","ناصر عبدالرحمن","القيادة أثناء سحب الرخصة","    32176425","بلاغ جنائي"
"2019-11-02 07:24:02","مقلقة","highly dangerous","Nasser Abdelrahman","ناصر عبدالرحمن","التستر على مطلوب للعدالة","    32176425","بلاغ جنائي"
"2025-05-25 16:24:56","مقلقة","highly dangerous","Nasser Abdelrahman","ناصر عبدالرحمن","السرقة","    32176425","بلاغ جنائي"
"2022-06-01 04:00:08","غير مقلقة","highly dangerous","Nasser Abdelrahman","ناصر عبدالرحمن","إلحاق الضرر العمدي بالممتلكات","    32176425","بلاغ جنائي"
"","","low","Sahara Car Rental","الصحراء لتأجير السيارات","","    99783031","بدون البلاغات الجنائية"
"","","low","Omar Al Dhaheri","عمر الظاهري","","     2500921","بدون البلاغات الجنائية"
"2019-06-22 18:50:01","مقلقة","dangerous","Grace Bautista","غريس باوتيستا","التفحيط وتعريض الأرواح للخطر","     6085942","بلاغ جنائي"
"2023-11-29 08:15:07","مقلقة","dangerous","Grace Bautista","غريس باوتيستا","حيازة ممنوعات","     6085942","بلاغ جنائي"
"","","medium","Adnan Qureshi","عدنان قريشي","","    81306212","بدون البلاغات الجنائية"
"","","dangerous","Bikram Shrestha","بيكرام شريستا","","    83255758","بدون البلاغات الجنائية"
"2023-09-16 16:32:12","مقلقة","highly dangerous","Bilal Malik","بلال مالك","الدخول للبلاد بطريقة غير مشروعة","       59667","بلاغ جنائي"
"","","medium","Zeeshan Raza","زيشان رضا","","    66627850","بدون البلاغات الجنائية"
"2022-08-20 08:12:03","مقلقة","medium","Adnan Khan","عدنان خان","الشروع في السرقة","    43763543","بلاغ جنائي"
"2023-01-12 23:23:44","مقلقة","medium","Adnan Khan","عدنان خان","الاتجار بالمواد المخدرة","    43763543","بلاغ جنائي"
"2022-12-30 21:46:59","مقلقة","medium","Adnan Khan","عدنان خان","القيادة تحت تأثير الكحول","    43763543","بلاغ جنائي"
"","","low","Suman Shrestha","سومان شريستا","","    90580426","بدون البلاغات الجنائية"
"","","low","Shahin Hossain","شاهين حسين","","      445434","بدون البلاغات الجنائية"
"2021-05-07 22:01:07","غير مقلقة","highly dangerous","Sara Al Mazrouei","سارة المزروعي","القيادة بدون تأمين ساري","       16342","بلاغ جنائي"
"2024-12-25 00:34:01","مقلقة","highly dangerous","Sara Al Mazrouei","سارة المزروعي","الهروب من مسرح الحادث","       16342","بلاغ جنائي"
"2025-11-10 23:27:35","مقلقة","highly dangerous","Sara Al Mazrouei","سارة المزروعي","التزوير في اللوحات","       16342","بلاغ جنائي"
"2025-10-06 01:31:32","مقلقة","highly dangerous","Muhammad Chaudhry","محمد تشودري","التفحيط وتعريض الأرواح للخطر","    64466723","بلاغ جنائي"
"2023-03-30 13:07:36","غير مقلقة","highly dangerous","Muhammad Chaudhry","محمد تشودري","القيادة بلا لوحات","    64466723","بلاغ جنائي"
"2020-12-28 21:09:35","مقلقة","dangerous","Prakash Magar","براكاش ماغار","القيادة بتهور","       96428","بلاغ جنائي"
"2023-12-27 12:35:31","غير مقلقة","low","Rajesh Reddy","راجيش ريدي","مخالفة قيود الإقامة","    90371410","بلاغ جنائي"
"","","medium","Noura Al Hammadi","نورة الحمادي","","    53198209","بدون البلاغات الجنائية"
"2019-10-03 03:54:03","مقلقة","highly dangerous","Moza Al Nuaimi","موزة النعيمي","القيادة بسرعة جنونية","    73660265","بلاغ جنائي"
"2024-04-24 20:07:28","غير مقلقة","highly dangerous","Moza Al Nuaimi","موزة النعيمي","القيادة بدون رخصة قيادة","    73660265","بلاغ جنائي"
"","","highly dangerous","Tariq Al Hammadi","طارق الحمادي","","    55330820","بدون البلاغات الجنائية"
"2022-07-28 15:59:33","مقلقة","highly dangerous","Ravi Shah","رافي شاه","تعاطي مواد مخدرة","    53278736","بلاغ جنائي"
"2020-10-31 04:15:15","مقلقة","highly dangerous","Ravi Shah","رافي شاه","عدم الالتزام بالإقامة الجبرية","    53278736","بلاغ جنائي"
"","","medium","Al Ain Farms Transport","مزارع العين للنقل","","    87017181","بدون البلاغات الجنائية"
"","","dangerous","Juma Al Ghafri","جمعة الغافري","","      833867","بدون البلاغات الجنائية"
"","","low","City Taxi LLC","سيتي تاكسي ذ.م.م","","      559328","بدون البلاغات الجنائية"
"","","medium","Asif Chaudhry","آصف تشودري","","     9959456","بدون البلاغات الجنائية"
"2020-04-12 20:01:37","مقلقة","highly dangerous","Emily Johnson","إميلي جونسون","قيادة مركبة مسروقة","      116637","بلاغ جنائي"
"2025-04-09 08:01:19","غير مقلقة","highly dangerous","Emily Johnson","إميلي جونسون","القيادة برخصة منتهية","      116637","بلاغ جنائي"
"2022-08-06 10:28:50","مقلقة","highly dangerous","Emily Johnson","إميلي جونسون","الدخول للبلاد بطريقة غير مشروعة","      116637","بلاغ جنائي"
"","","dangerous","Asha Sharma","آشا شارما","","    36873597","بدون البلاغات الجنائية"
"","","medium","Karim Miah","كريم ميا","","    66013795","بدون البلاغات الجنائية"
"","","low","Hussein Ibrahim","حسين إبراهيم","","       23506","بدون البلاغات الجنائية"
"2019-01-16 07:20:51","مقلقة","highly dangerous","Omar Nassar","عمر نصار","التسبب في حادث جسيم","    69451249","بلاغ جنائي"
"2025-07-17 10:07:40","غير مقلقة","highly dangerous","Omar Nassar","عمر نصار","خيانة الأمانة","    69451249","بلاغ جنائي"
"2020-07-09 09:15:12","مقلقة","dangerous","Noura Al Mazrouei","نورة المزروعي","السرقة","    66846642","بلاغ جنائي"
"","","dangerous","Manoj Gupta","مانوج غوبتا","","    80434768","بدون البلاغات الجنائية"
"2020-02-28 16:01:22","غير مقلقة","medium","Mohan Reddy","موهان ريدي","تجاوز الإشارة الحمراء بشكل متكرر","    43994528","بلاغ جنائي"
"2020-04-15 18:05:40","مقلقة","medium","Mohan Reddy","موهان ريدي","حيازة سلاح ناري غير مرخص","    43994528","بلاغ جنائي"
"2019-06-11 14:59:52","غير مقلقة","medium","Mohan Reddy","موهان ريدي","القيادة عكس اتجاه السير","    43994528","بلاغ جنائي"
"2023-03-12 17:09:49","مقلقة","medium","Mohan Reddy","موهان ريدي","التزوير في اللوحات","    43994528","بلاغ جنائي"
"2021-09-12 09:26:18","غير مقلقة","medium","Oasis Logistics","الواحة للخدمات اللوجستية","التعدي على الأملاك الخاصة","    53176240","بلاغ جنائي"
"2019-12-22 22:17:00","غير مقلقة","medium","Oasis Logistics","الواحة للخدمات اللوجستية","السب والقذف","    53176240","بلاغ جنائي"
"","","low","Adnan Khan","عدنان خان","","    21579401","بدون البلاغات الجنائية"
"","","low","Salma Darwish","سلمى درويش","","     6851712","بدون البلاغات الجنائية"
"","","dangerous","Wadha Hassan","وضحة حسن","","    46392434","بدون البلاغات الجنائية"
"","","dangerous","Manoj Das","مانوج داس","","    75172848","بدون البلاغات الجنائية"
"","","dangerous","Zayed Al Ali","زايد العلي","","      540367","بدون البلاغات الجنائية"
"2026-01-17 09:23:54","مقلقة","highly dangerous","Maryam Habib","مريم حبيب","التزوير في اللوحات","     5435845","بلاغ جنائي"
"2019-04-13 23:34:32","مقلقة","highly dangerous","Maryam Habib","مريم حبيب","السرقة","     5435845","بلاغ جنائي"
"2023-07-26 16:02:24","غير مقلقة","highly dangerous","Maryam Habib","مريم حبيب","التهديد","     5435845","بلاغ جنائي"
"2022-05-29 00:02:11","مقلقة","highly dangerous","Maryam Habib","مريم حبيب","الاتجار بالمواد المخدرة","     5435845","بلاغ جنائي"
"2024-05-24 01:34:52","مقلقة","highly dangerous","Maryam Habib","مريم حبيب","الاعتداء على موظف عام أثناء تأدية عمله","     5435845","بلاغ جنائي"
"","","low","Neha Rao","نيها راو","","    49456736","بدون البلاغات الجنائية"
"","","dangerous","Vijay Verma","فيجاي فيرما","","    36909953","بدون البلاغات الجنائية"
"","","medium","Mansoor Al Ghafri","منصور الغافري","","    32240761","بدون البلاغات الجنائية"
"2019-03-16 10:57:48","مقلقة","highly dangerous","Waseem Raza","وسيم رضا","القيادة تحت تأثير الكحول","    33116781","بلاغ جنائي"
"2021-02-08 00:35:06","مقلقة","highly dangerous","Waseem Raza","وسيم رضا","الشروع في السرقة","    33116781","بلاغ جنائي"
"","","medium","Ramesh Iyer","راميش آير","","     7192877","بدون البلاغات الجنائية"
"","","highly dangerous","Zayed Awad","زايد عوض","","    79436501","بدون البلاغات الجنائية"
"2019-04-17 08:40:19","غير مقلقة","highly dangerous","Suman Gurung","سومان غورونغ","نقل ركاب بدون تصريح","    35208721","بلاغ جنائي"
"","","dangerous","Daniel Johnson","دانيال جونسون","","    66340951","بدون البلاغات الجنائية"
"","","low","Sahara Car Rental","الصحراء لتأجير السيارات","","    48546794","بدون البلاغات الجنائية"
"2019-10-10 10:32:49","مقلقة","highly dangerous","Rapid Delivery Services","الخدمات السريعة للتوصيل","عدم الالتزام بالإقامة الجبرية","     2081331","بلاغ جنائي"
"","","low","Imran Iqbal","عمران إقبال","","    96856098","بدون البلاغات الجنائية"
"","","medium","Alia Al Suwaidi","عالية السويدي","","    64327246","بدون البلاغات الجنائية"
"","","low","Manoj Shah","مانوج شاه","","      547049","بدون البلاغات الجنائية"
"2022-08-10 14:23:49","مقلقة","highly dangerous","Layla Hassan","ليلى حسن","الابتزاز الإلكتروني","    13431525","بلاغ جنائي"
"2019-03-27 16:26:39","مقلقة","highly dangerous","Layla Hassan","ليلى حسن","القيادة بسرعة جنونية","    13431525","بلاغ جنائي"
"2025-02-15 00:41:29","غير مقلقة","highly dangerous","Layla Hassan","ليلى حسن","إلحاق الضرر العمدي بالممتلكات","    13431525","بلاغ جنائي"
"2024-06-05 14:24:16","غير مقلقة","highly dangerous","Layla Hassan","ليلى حسن","القيادة بدون رخصة قيادة","    13431525","بلاغ جنائي"
"2019-08-05 01:46:38","مقلقة","dangerous","Ramesh Singh","راميش سينغ","الاعتداء بالضرب المفضي إلى إصابة","       86730","بلاغ جنائي"
"2019-11-02 23:23:18","غير مقلقة","dangerous","Ramesh Singh","راميش سينغ","مخالفة اشتراطات النقل","       86730","بلاغ جنائي"
"2023-09-14 07:08:53","غير مقلقة","dangerous","Ramesh Singh","راميش سينغ","الامتناع عن دفع الغرامات المستحقة","       86730","بلاغ جنائي"
"","","dangerous","Deepak Patel","ديباك باتيل","","      155275","بدون البلاغات الجنائية"
"2025-01-20 14:39:33","مقلقة","dangerous","Dubai Taxi Corporation","مؤسسة دبي للتاكسي","الشروع في السرقة","    54019670","بلاغ جنائي"
"2024-07-15 19:53:46","غير مقلقة","dangerous","Dubai Taxi Corporation","مؤسسة دبي للتاكسي","التلاعب في عداد المسافات","    54019670","بلاغ جنائي"
"2025-01-17 22:24:50","غير مقلقة","dangerous","Dipak Rai","ديباك راي","نقل ركاب بدون تصريح","     9577709","بلاغ جنائي"
"2026-02-05 12:47:46","غير مقلقة","dangerous","Dipak Rai","ديباك راي","مخالفة قيود الإقامة","     9577709","بلاغ جنائي"
"","","medium","Latifa Al Marri","لطيفة المري","","      795241","بدون البلاغات الجنائية"
"","","low","Ravi Nair","رافي ناير","","    46021413","بدون البلاغات الجنائية"
"","","low","Mark Mendoza","مارك ميندوزا","","    93844657","بدون البلاغات الجنائية"
"","","medium","Kiran Das","كيران داس","","    17613568","بدون البلاغات الجنائية"
"2020-03-17 10:12:19","مقلقة","highly dangerous","Carlo Garcia","كارلو غارسيا","الاعتداء بالضرب المفضي إلى إصابة","    31712268","بلاغ جنائي"
"2020-10-09 09:24:12","مقلقة","highly dangerous","Carlo Garcia","كارلو غارسيا","الابتزاز الإلكتروني","    31712268","بلاغ جنائي"
"","","dangerous","Salama Ibrahim","سلامة إبراهيم","","    29599451","بدون البلاغات الجنائية"
"2025-11-16 10:57:11","مقلقة","highly dangerous","Bilal Malik","بلال مالك","مقاومة رجال السلطة","    97164813","بلاغ جنائي"
"2021-10-27 20:58:56","مقلقة","highly dangerous","Bilal Malik","بلال مالك","الهروب من مسرح الحادث","    97164813","بلاغ جنائي"
"","","low","Oasis Logistics","الواحة للخدمات اللوجستية","","     8936994","بدون البلاغات الجنائية"
"","","dangerous","Kamal Uddin","كمال الدين","","     9913575","بدون البلاغات الجنائية"
"2026-01-01 12:51:16","غير مقلقة","dangerous","Hind Al Ali","هند العلي","إصدار شيك بدون رصيد","    60864423","بلاغ جنائي"
"2021-12-06 07:00:31","غير مقلقة","dangerous","Hind Al Ali","هند العلي","مخالفة اشتراطات النقل","    60864423","بلاغ جنائي"
